name,channel_url,subs,total_views,video_count,bio,top_videos,has_webinar_keyword,website,h1,price_signal,authority_count,D1,D2,D3,D4,D5,D6,D7,Total_Fitness,Generation
Corbin Brown,https://www.youtube.com/channel/UCJFMlSxcvlZg5yZUYJT0Pug,165000,8260575,188,"a real software engineer making content. I know… surprising, right?

Founder thumio + techsnif · backed by _cafe_ venture in sf · host of thelog

",How To Use GitHub For Beginners | How To Use Cursor AI For Beginners | How To Use Perplexity AI For Beginners | How to Make a YouTube Thumbnail with AI (thumio) | OpenClaw Explained in 12 Minutes (for beginners),False,N/A,N/A,False,0,10.0,1.5,3.0,0.0,0.0,10.0,0.0,25.400000000000002,Finalist
Mikey No Code,https://www.youtube.com/channel/UCde0vB0fTwC8AT3sJofFV0w,119000,5550701,95,"Build Apps & Websites without coding!

My channel is your go-to place for the newest, latest, and best no-code tools to build apps and websites without writing a single line of code!

💡 Whether you're a beginner or an entrepreneur looking to launch fast, I break down step-by-step tutorials, reviews, and tips on the most powerful no-code platforms like Lovable, Base44, Rork, and more.

🟢 Join the only program that lets you actually starts building apps today: https://mikeyno-code.com/Skool

📩 For inquiries: Mikey (at) ytmedia.group
","ClawdBot Full Tutorial for Beginners: How to Use &amp; Set up ClawdBot (Openclaw) | How I Built A $10,000 Online Casino App With AI | How I Built an App in 14 minutes With 1 AI tool (2026) | Claude Code Tutorial for Beginners: Build App with AI (2026) | How I Built an App Making $150K with AI UGC (No Coding)",False,N/A,N/A,False,0,10.0,1.5,3.0,0.0,0.0,10.0,0.0,25.400000000000002,Finalist
Jack Roberts,https://www.youtube.com/channel/UCxVxcTULO9cFU6SB9qVaisQ,188000,6348168,125,"
Before YouTube, I built and sold a tech start-up with 60,000+ customers (Top-100 UK Start-ups)

I founded Glaido (type with your voice) and run a 7 figure AI automation business.

Everything I share here actually works and is battle-tested by actual high-growth businesses

If I'm not on YouTube, I'm drinking coffee and spending time with Dexter (my Beautiful Springer 🐶)

Let's crush 2026 📈


🎙️ Glaido (type with your voice)
https://glaido.com

🏆 Community (Unlock All my AI Systems)
https://bit.ly/45bHZ9E

🧸 Work with me
https://scalewithteddy.com/

📧  Contact 
jack(at)aiautomationswithjack.com

","Claude Code + Nano Banana 2 = Insane $10,000 Websites | This ChatGPT Prompt HACK Changes Everything | How to Use AntiGravity Better than 99% of People | AntiGravity + Stitch builds Insane Websites (NEW Skill) | How I Build $8,000+ AI Websites in 33 Mins (Gemini 3 FULL Guide)",False,N/A,N/A,False,0,10.0,1.5,3.0,0.0,0.0,10.0,0.0,25.400000000000002,Finalist
Anthropic,https://www.youtube.com/channel/UCrDwWp7EBBv4NwvScIpBDOA,516000,22131153,172,"We’re an AI safety and research company. Talk to our AI assistant Claude on claude.com. Download Claude on desktop, iOS, or Android. 

We believe AI will have a vast impact on the world. Anthropic is dedicated to building systems that people can rely on and generating research about the opportunities and risks of AI.

",Mastering Claude Code in 30 minutes | Introducing Claude Code | What do you think of my business idea? | How can I communicate better with my mom? | Getting started with Claude.ai,False,N/A,N/A,False,0,10.0,1.5,3.0,0.0,0.0,10.0,0.0,25.400000000000002,Finalist
Liam Ottley,https://www.youtube.com/channel/UCui4jxDaMb53Gdh-AZUTPAg,764000,28616316,244,"I’m an AI entrepreneur from New Zealand. In 2023 I created the 'AI Automation Agency' or 'AAA' model based on my learnings at my own agency Morningside AI.

On this channel I share my learnings from running my own AI Automation Agency, AI SaaS and from helping my community of over 290,000 AI Automation Agency owners to start and scale their own AI business.

My mission is to inspire others to take advantage of the incredible AI opportunity by documenting my journey as an AI entrepreneur.
",How to Build &amp; Sell AI Agents: Ultimate Beginner’s Guide | This AI Technology Will Replace Millions (Here&#39;s How to Prepare) | The 8 AI Skills That Will Separate Winners From Losers in 2025 | How to Get Rich with AI: The Complete Beginner’s Blueprint | How to Get Rich with AI Agents in 2025 | Complete Beginner&#39;s Guide (OpenAI Custom GPTs),False,N/A,N/A,False,0,10.0,1.5,3.0,0.0,0.0,10.0,0.0,25.400000000000002,Finalist
Matt Wolfe,https://www.youtube.com/channel/UChpleBmo18P08aKCIgti38g,927000,71732716,648,"Sifting through all the AI noise to share what actually matters - New videos every Friday (and probably some in between too)

Discover More:
🛠️ Explore AI Tools & News: https://futuretools.io/
📰 Weekly Newsletter: https://futuretools.io/newsletter

Socials:
❌ Twiter/X: https://x.com/mreflow
🖼️ Instagram: https://instagram.com/mr.eflow
🧵 Threads: https://www.threads.net/@mr.eflow
🟦 LinkedIn: https://www.linkedin.com/in/matt-wolfe-30841712/
👍 Facebook: https://www.facebook.com/mattrwolfe

Let’s work together!
- For brand, sponsorship, and business inquiries: mattwolfe@smoothmedia.co
",This Method of 3D Printing is Pretty Awesome | 21 Mobile AI Apps You Won&#39;t Believe Are Free | This Is Better Than ChatGPT (With Prompting Guide) | Make A Movie with AI: It&#39;s Crazy What We Can Do! | Install Auto-GPT Locally (Quick Setup Guide),False,N/A,N/A,False,0,10.0,1.5,3.0,0.0,0.0,10.0,0.0,25.400000000000002,Finalist
WEBINARIS - automatisiertes Webinar-Marketing,https://www.youtube.com/channel/UC7JuR0Qd3eydLKZQERSYpBQ,1440,93126,46,Lerne auf diesem Kanal alles über Marketingautomation mit Hilfe von automatisierten Webinaren und Webinaris. Gewinne kampagnen gesteuert neue Kunden und steigere automatisiert Deine Umsätze und Gewinne.,&quot;Die Klippensprung Mail&quot; für mehr Verkäufe in Deinen Webinaren | Die perfekte automatisierte digitale Firma (1:1 Umsetzungsplan) | Webinaris Rundgang (Überblick aller Funktionen) | WEBINARIS - Interview mit Rainer von Massenbach | Einführung Webinaris,True,N/A,N/A,False,0,0.144,0.0,10.0,5.0,0.0,5.0,0.0,25.288,Eliminated (Gen 1)
Jason Wardrop,https://www.youtube.com/channel/UCBgPxTfodXMa_zavgl0DX7A,337000,3837426,108,"💸 Built a multi-7-figure software business (2015 - 2021)
⚙️ #1 HighLevel Affiliate All-Time [+105,000 Referrals] (2021 - Present)
📈 Teaching the exact systems that helped me scale
⚠️ Real results require work — yours may vary 
🎥 Subscribe & let’s build your future
",How To Start A YouTube Channel For Beginners (Full Tutorial) | Start A Digital Marketing Agency With NO EXPERIENCE! (Beginner Friendly!) | Start A Digital Marketing Agency In 2026 With NO EXPERIENCE! | Sell AI Automation to Local Businesses (Beginner Step-by-Step Guide) | New Side Hustle That’s Working in 2026 (Beginner-Friendly Strategy),False,N/A,N/A,False,0,10.0,0.0,3.0,0.0,0.0,10.0,0.0,22.400000000000002,Finalist
Keaton Walker,https://www.youtube.com/channel/UCROsCSoY7I_QZuS4QGQckOA,73800,5269388,826,"I build businesses that print money while I sleep.

Currently running a $100k/mo+ “semi-passive” business with 6+ income streams all revolving around GoHighLevel.

I’ve also helped hundreds of entrepreneurs get more leverage and better business results—without fake scarcity, cringe bro-marketing, or shady tactics.

Former agency owner ($80K/month before I sold to a strategic buyer), now I mostly focus on:

High-production content that actually converts

Building money babies in AI and software

Teaching people how to scale without burning out

My work's been featured by HighLevel and has influenced thousands of resellers across the platform.

I live for:

- Building real leverage
- Traveling with my family
- Protecting my energy like it’s a second job

If you want to grow a white-labeled SaaS business, steal my systems, or just see behind the curtain—subscribe and hang out.
DM on Instagram if you’re serious about scaling.



","He got 1,000 SaaS Clients in 12 Months Using 5-Minute Looms (No Sales Calls) | Learn Zapier in 7 minutes: Business &amp; Personal Automation Tutorial For Beginners (2025) | DON’T Start a Skool Community Until You Watch This | He Sold 100 AI Receptionists to Local Businesses in ONE Month (£399/mo clients) | How to Use GoHighLevel WORKFLOWS (If/Else, Automations, &amp; More!)",False,N/A,N/A,False,0,7.38,1.5,3.0,0.0,0.0,10.0,0.0,21.208,Eliminated (Gen 1)
Manus AI,https://www.youtube.com/channel/UCQgFQdqiFQ_LfFBGP6z9dqQ,65700,3681900,65,"Manus from Meta is a general AI agent that turns your thoughts into actions. It excels at various tasks in work and life, getting everything done while you rest.
Find us at: https://t.me/manus_ai_agent_bot",Introducing Manus: The General AI Agent | Introducing Manus Browser Operator : An AI Agent that Browses For You? | Introducing Wide Research | Introducing Manus Slides | Introducing My Computer: When Manus Meets Your Desktop,False,N/A,N/A,False,0,6.57,1.5,3.0,0.0,0.0,10.0,0.0,19.912000000000003,Eliminated (Gen 1)
Milan Vasarhelyi - Business Automation,https://www.youtube.com/channel/UCAb5hm_79RYKMK2-SVn8JwQ,287,17590,20,"Learn about Business Automation, AI, and internal tool building.
",N8N for QuickBooks tutorial - Easy QuickBooks API Integration | N8N Email Categorizer - Reclaim your attention! (free template) | Supplier Invoice Processing - Automate Invoices with n8n &amp; Airtable! | Simplest way to Connect Make.com with Gmail and Drive - 2025 version | AI Receipt Scanner Agent - N8N Build (Step-by-step + Template),False,N/A,N/A,False,0,0.028700000000000003,4.5,3.0,0.0,0.0,5.0,0.0,13.445920000000001,Eliminated (Gen 1)
MCP Manager by Usercentrics,https://www.youtube.com/channel/UCinX4gd6Ge-wNhk1ChqnlNA,157,15407,52,MCP Manager by Usercentrics makes it easy to govern and control how data flows to AI. ,"MCP Manager Demo: MCP Gateway for Security, Observability, and Identity Management | MCP Security Best Practices: How to Prevent Risks 🔒 | MCP Gateways: Why They&#39;re Critical to AI Deployments | Asana MCP Server Tutorial: Connect to Claude Desktop | What Is an MCP Gateway? (Explanation + Demo)",False,N/A,N/A,False,0,0.0157,4.5,3.0,0.0,0.0,5.0,0.0,13.42512,Eliminated (Gen 1)
Teach GoHighLevel,https://www.youtube.com/channel/UChN1Zx2h1b8myUqBqQsTcFA,873,22008,36,"Welcome to Teach GoHighLevel, the ultimate hub for 'GoHighLevel tutorials. Our channel is dedicated to teaching everyday users the ins and outs of GoHighLevel with step-by-step tutorials and insightful overviews—all delivered with a dash of humor. As the only resource offering GHL tips without asking for anything in return, we're here to help you understand GoHighLevel from sign-up to mastery. Whether you're a new user seeking a beginner-friendly approach or an experienced marketer looking to enhance your skills, our expert walkthroughs are designed to make your GHL journey smooth and enjoyable. Subscribe now for regular updates and transform confusion into confidence!",Go High Level Affiliate Manager Setup | Full Walkthrough + Pro Tips | How to Build Custom Dashboards in Go High Level (Step-by-Step) | How to Create Perfect Email Campaigns in Go High Level | How To Set Up The Perfect Sales Pipeline In Go High Level | The Most Important Tool You&#39;re Not Using Right In Go High Level (Part 3),False,N/A,N/A,False,0,0.0873,3.0,3.0,0.0,0.0,5.0,0.0,10.539680000000002,Eliminated (Gen 1)
MCP-Builder-ai,https://www.youtube.com/channel/UCNjRp7CEOp-YUmEhQHjt7jA,13,2644,12,Building the AI Infrastructure for the next Decade,Connect Jira with Claude Desktop using MCP-Builder.ai | Create a MCP-Server connected to hubspot in a few minutes with MCP-Builder.ai | Connect Your OAuth 2 API to Claude in 3 Minutes (MCP Tutorial) | Connect Your OAuth 2 API to ChatGPT in 3 Minutes (MCP Tutorial) | Build your MCP-Server in natural language using MCP-Builder.ai,False,N/A,N/A,False,0,0.0013,3.0,3.0,0.0,0.0,5.0,0.0,10.402080000000002,Eliminated (Gen 1)
AUTIMA® | Marketing Automation,https://www.youtube.com/channel/UCgwFsBxSswvhIXv3WgaVTOQ,4080,1559506,1131,"Planbare Kundengewinnung, auch ohne Marketing Budget. Klingt fast zu schön um wahr zu sein aber ein Trust-Assset macht es möglich. Der Schlüssel ist Trust-Marketing. So generierst du nicht nur einfach sehr viele, qualifizierte Leads sondern machst auch mehr Umsatz mit bestehenden Leads.
",DIESE Bestandskundenmarketing-Strategie verändert alles | NEU: ChatGPT Agentenmodus vorgestellt - 11 krasse Use-Cases | ChatGPT: Actionfigur von dir erstellen - Anleitung | Hier ein Worst Case Szenario einer Umfrage #marketing #marketingstrategie #kunden #umfrage #umfragen | Komplette ChatGPT-Anleitung fürs Business (aktuellster Stand),False,N/A,N/A,False,0,0.40800000000000003,1.5,3.0,0.0,0.0,5.0,0.0,8.052800000000003,Eliminated (Gen 1)
Vibe Coding Tutorials,https://www.youtube.com/channel/UCZDZU6p2EH0GspmT-ahVnCg,1,27,2,"✨ Coding tutorials for the vibing coders! 💻🚀
",No Code Website Tutorial for Beginners (2025 Guide) | What is Vibe Coding?,False,N/A,N/A,False,0,0.0001,1.5,3.0,0.0,0.0,5.0,0.0,7.400160000000001,Eliminated (Gen 1)
Zoho Marketing Automation,https://www.youtube.com/channel/UCOtef2mV58MXef6op1Necrg,694,58813,16,"Zoho Marketing Automation is a multichannel marketing automation software tailor-made for marketers looking to elevate their brand's marketing efforts. This versatile software provides in-depth insights, allowing you to decipher the reasons behind website visits, track your leads' progress, and evaluate the success of recent campaigns.

With Zoho Marketing Automation, marketers can harness the power of advanced lead generation, personalized customer journey planning, web behavior targeting, an all-inclusive marketing planner, and much more, all designed to drive exceptional results.

Join the ever-growing community of marketers who have expanded their marketing reach and enhanced their funnel with Zoho Marketing Automation.

Know more - https://www.zoho.com/marketingautomation/

","WhatsApp Marketing made easy with Zoho | Automate your WhatsApp campaigns today | WhatsApp Marketing with Zoho: Exploring New Horizons | Zoho Marketing Automation | Announcing the all-new Zoho Marketing Automation 2.0 | Effective marketing, simplified. | Send bulk WhatsApp messages with Zoho Marketing Automation | Conversations to conversions | Get to know Zoho Marketing Automation | How to automate your marketing | A beginner&#39;s guide",False,N/A,N/A,False,0,0.0694,0.0,3.0,0.0,0.0,5.0,0.0,4.51104,Eliminated (Gen 1)
mcp,https://www.youtube.com/channel/UCckL145rQqDmtdDAjelDfVw,176,40046,7,"Creative microcontroller based projects involving electronics, mechanics, and programming, & explanations of various engineering concepts.
",Pickle Rick - 3D Printed with Electronics | DIY Robotic Fish | Design and Assembly | DIY Sound Module (Store and Play Audio) | DIY Watchdog Timer - Simple Explanation | DIY Pocket FM Radio | TEA5767 Tutorial w/ any MCU/MPU,False,N/A,N/A,False,0,0.0176,0.0,3.0,0.0,0.0,5.0,0.0,4.42816,Eliminated (Gen 1)
